ztop,Temperature,AgeAICC
536.8,-9.55,23132.7
537.35,-9.11,23179.2
537.9,-8.43,23225.8
538.45,-8.84,23269.5
539,-8.23,23313.3
539.55,-8.99,23357.1
540.1,-9.19,23402.9
540.65,-8.79,23448.7
541.2,-10.25,23494.5
541.75,-9.36,23542.9
542.3,-8.95,23591.3
542.85,-9.28,23639.7
543.4,-8.69,23686.1
543.95,-8.88,23732.6
544.5,-9.05,23779
545.05,-8.64,23825.7
545.6,-8.95,23872.4
546.15,-9.29,23919.1
546.7,-9.36,23969.7
547.25,-10.39,24020.4
547.8,-9.95,24071.1
548.35,-9.62,24123
548.9,-9.52,24174.9
549.45,-10.58,24226.9
550,-9.68,24279.9
550.55,-9.4,24332.9
551.1,-9.05,24385.9
551.65,-9,24436.6
552.2,-9.76,24487.3
552.75,-9.33,24537.9
553.3,-10.07,24592
553.85,-10.1,24646
554.4,-7.98,24700
554.95,-8.99,24750.4
555.5,-9.9,24800.8
556.05,-10.21,24851.2
556.6,-10.06,24907.7
557.15,-9.96,24964.2
557.7,-9.89,25020.7
558.25,-9.54,25076
558.8,-9.84,25131.4
559.35,-9.39,25186.8
559.9,-9.83,25242.5
560.45,-9.95,25298.2
561,-9.83,25353.9
561.55,-9.35,25408.9
562.1,-9.35,25464
562.65,-10.21,25519
563.2,-10.48,25578.1
563.75,-10.32,25637.2
564.3,-9.54,25696.3
564.85,-9.87,25753.3
565.4,-9.84,25810.3
565.95,-9.67,25867.3
566.5,-9.54,25922.8
567.05,-9.3,25978.2
567.6,-10.19,26033.7
568.15,-10.02,26089.9
568.7,-9.53,26146.1
569.25,-10.47,26202.3
569.8,-8.93,26257
570.35,-9.61,26311.8
